syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p,time
True,False,True,UpdateEvaluationTest,data-sparql11,move,move06,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,move,move07,True,True,True,False,False,,False,,,8
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp02,True,True,True,False,False,,False,,,7
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp10,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp12,True,True,True,False,False,,False,,,8
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp14,True,True,True,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp16,True,True,True,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp21,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp23,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp25,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp28a,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp30,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp31,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp32,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp33,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp34,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp35,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp36,True,True,True,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp37,True,True,True,False,False,,False,,,6
True,False,False,PositiveSyntaxTest11,data-sparql11,syntax-query,test_63,True,True,True,False,False,,False,,,7
True,False,False,PositiveSyntaxTest11,data-sparql11,syntax-query,test_pp_coll,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_1,True,True,True,False,False,,False,,,8
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_2,True,True,True,False,False,,False,,,8
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_3,True,True,True,False,False,,False,,,15
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_4,True,True,True,False,False,,False,,,15
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_5,True,True,True,False,False,,False,,,15
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_6,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_7,True,True,True,False,False,,False,,,15
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_8,True,True,True,False,False,,False,,,15
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_9,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_10,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_11,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_12,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_13,True,True,True,False,False,,False,,,12
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_14,True,True,True,False,False,,False,,,8
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_15,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_16,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_17,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_18,True,True,True,False,False,,False,,,8
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_19,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_20,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_21,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_22,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_37,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_38,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_39,True,True,True,False,False,,False,,,7
True,False,False,PositiveUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_40,True,True,True,False,False,,False,,,7
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,load-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,load-into-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,clear-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,clear-default-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,create-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,drop-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,drop-default-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,copy-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,copy-to-default-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,move-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,move-to-default-silent,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,add-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,add-to-default-silent,True,True,True,False,False,,False,,,4
